code,id,tree,tree position,tree id,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments,,,,,,,,,
HMS57,S5-7,tree 2,149,S5-7-149,149,16,7,Scripps,5,Kanzi,April,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,10,1,0,2,dead,0,,,,,,,,
HMS58,S5-8,tree 1,125,S5-8-125,125,16,8,Scripps,5,Rubens,April,0,0,0,0,0,0,1,14,0,0,0,5,14,3,0,0,6,21,3,0,1,dying,0,,,,,,,,
HMS58,S5-8,tree 2,126,S5-8-126,126,16,8,Scripps,5,Rubens,April,0,0,0,0,0,0,2,10,1,0,0,6,10,4,0,0,10,22,4,0,1,dying,0,,,,,,,,
HMW12,W1-2,tree 1,61,W1-2-61,61,1,2,WWF,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
HMW12,W1-2,tree 2,63,W1-2-63,63,1,2,WWF,1,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
HMW13,W1-3,tree 1,13,W1-3-13,13,1,3,WWF,1,Grenadier,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,
HMW13,W1-3,tree 2,16,W1-3-16,16,1,3,WWF,1,Grenadier,Dec,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,
HMW14,W1-4,tree 1,26,W1-4-26,26,1,4,WWF,1,Gala,Dec,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,
HMW14,W1-4,tree 2,28,W1-4-28,28,1,4,WWF,1,Gala,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
HMW15,W1-5,tree 1,38,W1-5-38,38,1,5,WWF,1,Braeburn,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,12,0,0,0,0,0,,,,,,,,
HMW15,W1-5,tree 2,42,W1-5-42,42,1,5,WWF,1,Braeburn,Dec,0,1,0,0,0,0,4,1,0,0,0,5,1,0,0,0,6,9,0,0,0,0,0,,,,,,,,
HMW16,W1-6,tree 1,4,W1-6-4,4,1,6,WWF,1,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,,,,,,,,
HMW16,W1-6,tree 2,5,W1-6-5,5,1,6,WWF,1,Jazz,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
HMW17,W1-7,tree 1,51,W1-7-51,51,1,7,WWF,1,Kanzi,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,,,,,,,
HMW17,W1-7,tree 2,52,W1-7-52,52,1,7,WWF,1,Kanzi,Dec,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,
