ID,tree position,row,Cultivar number ,Site,block,Cultivar,planting date,A1,B1,C1,D1,E1,A2,B2,C2,D2,E2,A3,B3,C3,D3,E3,A4,B4,C4,D4,E4,Heath,comments
A2-8-45,45,2,8,Avalon,2,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,
A2-8-46,46,2,8,Avalon,2,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A2-8-47,47,2,8,Avalon,2,Rubens,April,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,0,
A2-8-48,48,2,8,Avalon,2,Rubens,April,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
A2-2-49,49,2,2,Avalon,2,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
A2-2-50,50,2,2,Avalon,2,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,
A2-2-51,51,2,2,Avalon,2,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
A2-2-52,52,2,2,Avalon,2,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
A2-2-53,53,2,2,Avalon,2,Golden Delicious,Dec,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
A2-2-54,54,2,2,Avalon,2,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,
A2-2-55,55,2,2,Avalon,2,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,
A2-2-56,56,2,2,Avalon,2,Golden Delicious,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,0,
A2-2-57,57,2,2,Avalon,2,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,17,4,0,0,
A2-2-58,58,2,2,Avalon,2,Golden Delicious,April,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,
A2-2-59,59,2,2,Avalon,2,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,
A2-2-60,60,2,2,Avalon,2,Golden Delicious,April,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,13,2,0,0,
A2-2-61,61,2,2,Avalon,2,Golden Delicious,April,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,12,8,0,0,
A2-2-62,62,2,2,Avalon,2,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
A2-2-63,63,2,2,Avalon,2,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,
A2-2-64,64,2,2,Avalon,2,Golden Delicious,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
A2-4-65,65,2,4,Avalon,2,Gala,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
A2-4-66,66,2,4,Avalon,2,Gala,Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
